artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Alex Mumbee,Why,0.816,0.48,4,-8.434,0,0.157,0.026,0.00176,0.415,0.832,68.037,audio_features,7HRNL0XX509hwPyS22esAV,spotify:track:7HRNL0XX509hwPyS22esAV,https://api.spotify.com/v1/tracks/7HRNL0XX509hwPyS22esAV,https://api.spotify.com/v1/audio-analysis/7HRNL0XX509hwPyS22esAV,238381,4
Owl City,Fireflies,0.512,0.662,3,-6.797,1,0.0439,0.0275,0,0.118,0.472,180.114,audio_features,3DamFFqW32WihKkTVlwTYQ,spotify:track:3DamFFqW32WihKkTVlwTYQ,https://api.spotify.com/v1/tracks/3DamFFqW32WihKkTVlwTYQ,https://api.spotify.com/v1/audio-analysis/3DamFFqW32WihKkTVlwTYQ,228347,4
Kygo,Freedom,0.715,0.635,7,-6.591,1,0.0791,0.127,0,0.0862,0.39,112.887,audio_features,5Gj1wG8b12VQdEd3hUuSwo,spotify:track:5Gj1wG8b12VQdEd3hUuSwo,https://api.spotify.com/v1/tracks/5Gj1wG8b12VQdEd3hUuSwo,https://api.spotify.com/v1/audio-analysis/5Gj1wG8b12VQdEd3hUuSwo,198635,4
Demo,Sweet Elixir,0.753,0.628,10,-7.506,0,0.0662,0.59,2.41e-05,0.109,0.926,121.053,audio_features,4uC7UORauppakOGd2EPh8c,spotify:track:4uC7UORauppakOGd2EPh8c,https://api.spotify.com/v1/tracks/4uC7UORauppakOGd2EPh8c,https://api.spotify.com/v1/audio-analysis/4uC7UORauppakOGd2EPh8c,247934,4
Lil Nas X,THATS WHAT I WANT,0.737,0.846,1,-4.51,0,0.22,0.00614,0,0.0486,0.546,87.981,audio_features,0e8nrvls4Qqv5Rfa2UhqmO,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,https://api.spotify.com/v1/tracks/0e8nrvls4Qqv5Rfa2UhqmO,https://api.spotify.com/v1/audio-analysis/0e8nrvls4Qqv5Rfa2UhqmO,143901,4
Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),0.677,0.696,0,-6.181,1,0.119,0.321,0,0.42,0.464,90.03,audio_features,4iJyoBOLtHqaGxP12qzhQI,spotify:track:4iJyoBOLtHqaGxP12qzhQI,https://api.spotify.com/v1/tracks/4iJyoBOLtHqaGxP12qzhQI,https://api.spotify.com/v1/audio-analysis/4iJyoBOLtHqaGxP12qzhQI,198082,4
Justin Bieber,Hold On,0.658,0.634,1,-6.068,0,0.0431,0.0104,0,0.12,0.302,140.002,audio_features,1nahzW3kfMuwReTka28tH5,spotify:track:1nahzW3kfMuwReTka28tH5,https://api.spotify.com/v1/tracks/1nahzW3kfMuwReTka28tH5,https://api.spotify.com/v1/audio-analysis/1nahzW3kfMuwReTka28tH5,170813,4
Tom Heath,Tequila,0.473,0.717,3,-7.218,1,0.14,0.436,0,0.146,0.642,105.411,audio_features,1Qrg1dbky1aGB04gln5Ofe,spotify:track:1Qrg1dbky1aGB04gln5Ofe,https://api.spotify.com/v1/tracks/1Qrg1dbky1aGB04gln5Ofe,https://api.spotify.com/v1/audio-analysis/1Qrg1dbky1aGB04gln5Ofe,227333,4
Madism,Pumped Up Kicks,0.669,0.687,0,-4.753,1,0.043,0.152,1.6e-05,0.308,0.386,123.903,audio_features,3Dzso9Q2WwupEclqgxBZht,spotify:track:3Dzso9Q2WwupEclqgxBZht,https://api.spotify.com/v1/tracks/3Dzso9Q2WwupEclqgxBZht,https://api.spotify.com/v1/audio-analysis/3Dzso9Q2WwupEclqgxBZht,145161,4
DAMSTERAM,On My Mind - Original Mix,0.799,0.748,4,-7.996,1,0.0991,0.0291,0.000488,0.0577,0.448,101.009,audio_features,4NGMxdqS8KQa109oxRzcTY,spotify:track:4NGMxdqS8KQa109oxRzcTY,https://api.spotify.com/v1/tracks/4NGMxdqS8KQa109oxRzcTY,https://api.spotify.com/v1/audio-analysis/4NGMxdqS8KQa109oxRzcTY,244333,4
