artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Paul Oakenfold,I'm In Love,0.742,0.789,9,-7.7,1,0.0379,0.0682,0.00299,0.139,0.202,119.998,audio_features,2Rfy50UpGrTN43GmSpn5A1,spotify:track:2Rfy50UpGrTN43GmSpn5A1,https://api.spotify.com/v1/tracks/2Rfy50UpGrTN43GmSpn5A1,https://api.spotify.com/v1/audio-analysis/2Rfy50UpGrTN43GmSpn5A1,192000,4
Alesso,Chasing Stars (feat. James Bay),0.594,0.64,10,-6.865,1,0.033,0.0169,0,0.135,0.492,92.871,audio_features,6y6xhAgZjvxy5kR5rigpY3,spotify:track:6y6xhAgZjvxy5kR5rigpY3,https://api.spotify.com/v1/tracks/6y6xhAgZjvxy5kR5rigpY3,https://api.spotify.com/v1/audio-analysis/6y6xhAgZjvxy5kR5rigpY3,170457,4
Sons Of Maria,Anywhere,0.698,0.774,1,-5.128,1,0.0377,0.111,1.85e-05,0.188,0.708,123.019,audio_features,3kYdzPhwZcDoDqSCs8C1y1,spotify:track:3kYdzPhwZcDoDqSCs8C1y1,https://api.spotify.com/v1/tracks/3kYdzPhwZcDoDqSCs8C1y1,https://api.spotify.com/v1/audio-analysis/3kYdzPhwZcDoDqSCs8C1y1,185366,4
Galantis,Dandelion,0.8,0.66,0,-4.903,1,0.158,0.158,0.02,0.14,0.634,117.923,audio_features,4NexTaCZZ7Ehnf03A6SVjt,spotify:track:4NexTaCZZ7Ehnf03A6SVjt,https://api.spotify.com/v1/tracks/4NexTaCZZ7Ehnf03A6SVjt,https://api.spotify.com/v1/audio-analysis/4NexTaCZZ7Ehnf03A6SVjt,140012,4
Vicetone,No Rest,0.626,0.76,3,-3.352,0,0.0327,0.295,0,0.0575,0.629,122.984,audio_features,6kjSIZlRDnYVmu3xkSKhMz,spotify:track:6kjSIZlRDnYVmu3xkSKhMz,https://api.spotify.com/v1/tracks/6kjSIZlRDnYVmu3xkSKhMz,https://api.spotify.com/v1/audio-analysis/6kjSIZlRDnYVmu3xkSKhMz,209299,4
ARTY,Take Your Time,0.583,0.94,7,-3.05,1,0.0551,0.0476,0.000206,0.0524,0.378,127.009,audio_features,3AygCrAj6TZZ6mGkcvD9To,spotify:track:3AygCrAj6TZZ6mGkcvD9To,https://api.spotify.com/v1/tracks/3AygCrAj6TZZ6mGkcvD9To,https://api.spotify.com/v1/audio-analysis/3AygCrAj6TZZ6mGkcvD9To,186142,4
David Solomon,Dreaming (feat. SMBDY),0.674,0.885,5,-4.595,1,0.0365,0.00608,0,0.274,0.716,125.006,audio_features,60n8BhJ1FWhKbhYOF0LzQr,spotify:track:60n8BhJ1FWhKbhYOF0LzQr,https://api.spotify.com/v1/tracks/60n8BhJ1FWhKbhYOF0LzQr,https://api.spotify.com/v1/audio-analysis/60n8BhJ1FWhKbhYOF0LzQr,169320,4
Codeko,Chance,0.682,0.868,6,-6.3,1,0.109,0.0017,0.335,0.374,0.543,124.024,audio_features,4oVp2A9Ud4hV27Kr5bByCQ,spotify:track:4oVp2A9Ud4hV27Kr5bByCQ,https://api.spotify.com/v1/tracks/4oVp2A9Ud4hV27Kr5bByCQ,https://api.spotify.com/v1/audio-analysis/4oVp2A9Ud4hV27Kr5bByCQ,206002,4
GoldFish,Everything Is Changing,0.659,0.788,7,-7.463,1,0.0471,0.0167,0.00818,0.125,0.78,121.016,audio_features,3dp7Dng3aEk9t80jQ063de,spotify:track:3dp7Dng3aEk9t80jQ063de,https://api.spotify.com/v1/tracks/3dp7Dng3aEk9t80jQ063de,https://api.spotify.com/v1/audio-analysis/3dp7Dng3aEk9t80jQ063de,208536,4
Timmy Trumpet,Stay Mine,0.756,0.892,5,-4.361,1,0.0399,0.0671,0.000139,0.0798,0.362,124.05,audio_features,7IhWJM8cN04zRQ2PNM91xc,spotify:track:7IhWJM8cN04zRQ2PNM91xc,https://api.spotify.com/v1/tracks/7IhWJM8cN04zRQ2PNM91xc,https://api.spotify.com/v1/audio-analysis/7IhWJM8cN04zRQ2PNM91xc,178011,4
