danceability,energy,loudness,speechiness,acousticness,liveness,valence,target
0.681,0.174,-8.745,0.0315,0.837,0.0983,0.231,0
0.697,0.474,-6.663,0.0351,0.603,0.11,0.249,0
0.575,0.33,-6.557,0.031,0.416,0.0872,0.277,0
0.568,0.686,-4.901,0.0903,0.133,0.11,0.4,0
0.623,0.493,-7.727,0.0338,0.0632,0.104,0.594,0
0.429,0.661,-7.227,0.0281,0.00239,0.234,0.285,0
0.623,0.417,-8.699,0.0354,0.296,0.135,0.721,0
0.395,0.288,-10.465,0.0345,0.656,0.116,0.189,0
0.559,0.33,-8.251,0.0285,0.892,0.0975,0.285,0
0.443,0.533,-6.548,0.0396,0.371,0.128,0.201,0
0.39,0.448,-8.57,0.0276,0.8,0.107,0.077,0
0.795,0.378,-9.979,0.316,0.859,0.204,0.576,0
0.667,0.613,-5.353,0.0344,0.403,0.115,0.47,0
0.494,0.632,-6.89,0.0342,0.682,0.0869,0.0797,0
0.612,0.539,-5.071,0.0488,0.104,0.18,0.294,0
0.708,0.211,-9.603,0.0424,0.853,0.131,0.362,0
0.61,0.683,-3.879,0.0253,0.00382,0.125,0.466,0
0.439,0.153,-8.95,0.0479,0.874,0.107,0.104,0
0.608,0.37,-9.207,0.0306,0.844,0.112,0.349,0
0.609,0.444,-9.129,0.106,0.603,0.104,0.166,0
0.561,0.0848,-15.099,0.0404,0.913,0.112,0.206,0
0.781,0.445,-6.061,0.0295,0.474,0.184,0.591,0
0.621,0.31,-10.164,0.0283,0.945,0.117,0.125,0
0.466,0.536,-6.227,0.0429,0.0951,0.114,0.377,0
0.479,0.419,-6.517,0.0389,0.568,0.11,0.186,0
0.553,0.586,-6.319,0.0362,0.697,0.0813,0.443,0
0.727,0.626,-8.415,0.0726,0.0469,0.126,0.322,0
0.258,0.659,-5.903,0.0596,0.253,0.111,0.272,0
0.651,0.663,-5.569,0.0281,0.228,0.0994,0.465,0
0.591,0.585,-6.35,0.0277,0.143,0.109,0.324,0
0.489,0.581,-5.731,0.0281,0.0312,0.132,0.494,0
0.686,0.457,-8.322,0.0468,0.595,0.105,0.718,0
0.697,0.467,-7.536,0.0715,0.248,0.0941,0.572,0
0.666,0.423,-8.012,0.043,0.494,0.106,0.154,0
0.574,0.824,-6.885,0.0463,0.359,0.0816,0.434,0
0.638,0.656,-5.886,0.0357,0.188,0.146,0.225,0
0.564,0.714,-4.987,0.129,0.0549,0.155,0.33,0
0.585,0.303,-10.058,0.0398,0.694,0.115,0.142,0
0.627,0.699,-4.504,0.0244,0.174,0.0789,0.535,0
0.657,0.569,-6.287,0.0542,0.201,0.126,0.399,0
0.392,0.574,-9.195,0.17,0.833,0.145,0.529,0
0.453,0.496,-5.785,0.0453,0.554,0.0772,0.501,0
0.422,0.264,-7.064,0.0322,0.922,0.132,0.331,0
0.604,0.366,-7.519,0.0282,0.578,0.133,0.13,0
0.641,0.551,-6.165,0.0532,0.147,0.12,0.417,0
0.449,0.465,-8.964,0.0791,0.524,0.303,0.543,0
0.597,0.45,-6.658,0.0418,0.223,0.382,0.537,0
0.641,0.324,-5.851,0.0299,0.698,0.328,0.273,0
0.508,0.72,-5.908,0.0628,0.272,0.0563,0.472,0
0.459,0.575,-4.858,0.0573,0.604,0.0885,0.183,0
0.557,0.585,-6.201,0.0431,0.036,0.176,0.305,0
0.612,0.57,-6.642,0.0347,0.278,0.0963,0.334,0
0.464,0.473,-10.086,0.129,0.866,0.109,0.604,0
0.599,0.448,-6.312,0.0232,0.163,0.106,0.168,0
0.656,0.627,-6.627,0.0379,0.343,0.124,0.481,0
0.296,0.351,-9.538,0.0352,0.823,0.11,0.19,0
0.654,0.63,-4.644,0.0259,0.153,0.111,0.43,0
0.542,0.412,-6.822,0.0411,0.0421,0.0884,0.284,0
0.605,0.377,-6.213,0.0443,0.733,0.0808,0.519,0
0.589,0.471,-4.908,0.0262,0.674,0.105,0.262,0
0.58,0.586,-6.883,0.0357,0.344,0.0755,0.507,0
0.381,0.594,-5.97,0.0486,0.348,0.0925,0.273,0
0.488,0.343,-8.985,0.0436,0.556,0.21,0.0978,0
0.358,0.557,-7.398,0.059,0.695,0.0902,0.494,0
0.637,0.843,-5.413,0.0432,0.0151,0.0876,0.434,0
0.524,0.639,-7.18,0.103,0.238,0.0598,0.582,0
0.721,0.277,-7.128,0.0365,0.634,0.112,0.309,0
0.655,0.469,-6.257,0.0292,0.173,0.0956,0.467,0
0.764,0.32,-7.209,0.0546,0.837,0.0822,0.575,0
0.501,0.405,-5.679,0.0319,0.751,0.105,0.446,0
0.667,0.373,-9.389,0.05,0.785,0.0906,0.0823,0
0.958,0.376,-7.063,0.0523,0.171,0.127,0.331,0
0.63,0.53,-7.259,0.0434,0.4,0.177,0.417,0
0.573,0.739,-5.74,0.129,0.0285,0.111,0.451,0
0.548,0.816,-4.209,0.0465,0.122,0.335,0.557,0
0.688,0.53,-5.507,0.0333,0.443,0.0995,0.162,0
0.555,0.729,-4.813,0.0387,0.00357,0.209,0.369,0
0.421,0.407,-7.445,0.0267,0.309,0.11,0.161,0
0.581,0.197,-7.697,0.0329,0.88,0.107,0.349,0
0.752,0.505,-7.621,0.253,0.535,0.104,0.419,0
0.515,0.378,-8.264,0.065,0.618,0.172,0.536,0
0.476,0.594,-6.879,0.135,0.0599,0.0785,0.314,0
0.689,0.706,-4.48,0.0312,0.0833,0.105,0.623,0
0.357,0.425,-7.301,0.0333,0.584,0.322,0.27,0
0.427,0.262,-8.541,0.0276,0.746,0.068,0.228,0
0.614,0.379,-10.48,0.0476,0.607,0.0986,0.201,0
0.266,0.0596,-18.515,0.0363,0.905,0.132,0.143,0
0.553,0.506,-5.967,0.0411,0.317,0.763,0.306,0
0.596,0.679,-6.395,0.0394,0.723,0.116,0.479,0
0.646,0.31,-11.728,0.0399,0.885,0.121,0.202,0
0.616,0.438,-5.968,0.0298,0.356,0.24,0.386,0
0.621,0.82,-4.865,0.0367,0.332,0.104,0.452,0
0.599,0.465,-4.95,0.0314,0.643,0.149,0.0678,0
0.481,0.267,-9.249,0.0339,0.8,0.249,0.137,0
0.45,0.329,-12.603,0.0441,0.818,0.135,0.266,0
0.398,0.316,-7.031,0.0368,0.805,0.295,0.174,0
0.627,0.446,-9.477,0.0332,0.308,0.111,0.11,0
0.612,0.28,-8.648,0.0434,0.932,0.088,0.387,0
0.611,0.462,-7.054,0.0646,0.558,0.131,0.377,0
0.325,0.18,-10.647,0.0311,0.91,0.113,0.0997,0
0.681,0.174,-8.745,0.0315,0.837,0.0983,0.231,0
0.697,0.474,-6.663,0.0351,0.603,0.11,0.249,0
0.575,0.33,-6.557,0.031,0.416,0.0872,0.277,0
0.568,0.686,-4.901,0.0903,0.133,0.11,0.4,0
0.623,0.493,-7.727,0.0338,0.0632,0.104,0.594,0
0.429,0.661,-7.227,0.0281,0.00239,0.234,0.285,0
0.623,0.417,-8.699,0.0354,0.296,0.135,0.721,0
0.395,0.288,-10.465,0.0345,0.656,0.116,0.189,0
0.559,0.33,-8.251,0.0285,0.892,0.0975,0.285,0
0.443,0.533,-6.548,0.0396,0.371,0.128,0.201,0
0.39,0.448,-8.57,0.0276,0.8,0.107,0.077,0
0.795,0.378,-9.979,0.316,0.859,0.204,0.576,0
0.667,0.613,-5.353,0.0344,0.403,0.115,0.47,0
0.494,0.632,-6.89,0.0342,0.682,0.0869,0.0797,0
0.612,0.539,-5.071,0.0488,0.104,0.18,0.294,0
0.708,0.211,-9.603,0.0424,0.853,0.131,0.362,0
0.61,0.683,-3.879,0.0253,0.00382,0.125,0.466,0
0.439,0.153,-8.95,0.0479,0.874,0.107,0.104,0
0.608,0.37,-9.207,0.0306,0.844,0.112,0.349,0
0.609,0.444,-9.129,0.106,0.603,0.104,0.166,0
0.561,0.0848,-15.099,0.0404,0.913,0.112,0.206,0
0.781,0.445,-6.061,0.0295,0.474,0.184,0.591,0
0.621,0.31,-10.164,0.0283,0.945,0.117,0.125,0
0.466,0.536,-6.227,0.0429,0.0951,0.114,0.377,0
0.479,0.419,-6.517,0.0389,0.568,0.11,0.186,0
0.553,0.586,-6.319,0.0362,0.697,0.0813,0.443,0
0.727,0.626,-8.415,0.0726,0.0469,0.126,0.322,0
0.258,0.659,-5.903,0.0596,0.253,0.111,0.272,0
0.651,0.663,-5.569,0.0281,0.228,0.0994,0.465,0
0.591,0.585,-6.35,0.0277,0.143,0.109,0.324,0
0.489,0.581,-5.731,0.0281,0.0312,0.132,0.494,0
0.686,0.457,-8.322,0.0468,0.595,0.105,0.718,0
0.697,0.467,-7.536,0.0715,0.248,0.0941,0.572,0
0.666,0.423,-8.012,0.043,0.494,0.106,0.154,0
0.574,0.824,-6.885,0.0463,0.359,0.0816,0.434,0
0.638,0.656,-5.886,0.0357,0.188,0.146,0.225,0
0.564,0.714,-4.987,0.129,0.0549,0.155,0.33,0
0.585,0.303,-10.058,0.0398,0.694,0.115,0.142,0
0.627,0.699,-4.504,0.0244,0.174,0.0789,0.535,0
0.657,0.569,-6.287,0.0542,0.201,0.126,0.399,0
0.776,0.808,-4.501,0.117,0.0297,0.103,0.494,1
0.721,0.738,-4.77,0.0403,0.00226,0.118,0.637,1
0.686,0.538,-8.026,0.0345,0.181,0.113,0.584,1
0.788,0.859,-2.724,0.0856,0.281,0.0424,0.822,1
0.695,0.656,-6.038,0.0489,0.057,0.267,0.346,1
0.619,0.736,-7.651,0.0425,0.0328,0.0864,0.299,1
0.761,0.525,-6.9,0.0944,0.44,0.0921,0.531,1
0.591,0.764,-5.484,0.0483,0.0383,0.103,0.478,1
0.805,0.515,-6.201,0.0915,0.223,0.238,0.488,1
0.581,0.584,-4.928,0.284,0.0805,0.366,0.756,1
0.748,0.551,-6.12,0.0349,0.235,0.119,0.66,1
0.497,0.757,-4.189,0.127,0.0449,0.119,0.507,1
0.7,0.613,-4.041,0.0408,0.385,0.0887,0.42,1
0.668,0.563,-6.433,0.0522,0.0493,0.119,0.305,1
0.702,0.825,-3.787,0.0601,0.00883,0.0674,0.915,1
0.443,0.582,-6.02,0.0482,0.0301,0.127,0.239,1
0.595,0.784,-4.878,0.102,0.216,0.0608,0.479,1
0.705,0.776,-6.096,0.0445,0.0643,0.0246,0.366,1
0.633,0.843,-5.676,0.046,0.0142,0.113,0.748,1
0.594,0.64,-6.865,0.033,0.0169,0.135,0.492,1
0.576,0.679,-7.237,0.034,0.0311,0.323,0.213,1
0.65,0.825,-4.645,0.0325,0.0215,0.0936,0.593,1
0.399,0.492,-10.777,0.0538,0.058,0.11,0.159,1
0.548,0.816,-4.209,0.0465,0.122,0.335,0.557,1
0.766,0.706,-6.553,0.16,0.223,0.064,0.766,1
0.58,0.586,-6.883,0.0357,0.344,0.0755,0.507,1
0.689,0.706,-4.48,0.0312,0.0833,0.105,0.623,1
0.587,0.648,-6.927,0.0439,0.0561,0.115,0.281,1
0.731,0.626,-6.919,0.0805,0.125,0.183,0.862,1
0.665,0.692,-5.431,0.112,0.172,0.191,0.68,1
0.669,0.629,-5.018,0.0803,0.217,0.366,0.294,1
0.704,0.701,-5.44,0.0596,0.0593,0.126,0.606,1
0.743,0.837,-5.025,0.0649,0.0172,0.0743,0.263,1
0.52,0.849,-3.794,0.186,0.00253,0.119,0.774,1
0.727,0.626,-8.415,0.0726,0.0469,0.126,0.322,1
0.697,0.875,-4.621,0.034,0.137,0.28,0.774,1
0.588,0.701,-6.39,0.0402,0.00813,0.2,0.443,1
0.52,0.903,-5.497,0.042,0.00517,0.254,0.652,1
0.743,0.832,-3.937,0.0611,0.161,0.0925,0.801,1
0.557,0.585,-6.201,0.0431,0.036,0.176,0.305,1
0.762,0.701,-3.541,0.0286,0.235,0.123,0.742,1
0.682,0.72,-8.173,0.0381,0.326,0.148,0.673,1
0.706,0.824,-7.959,0.0694,0.355,0.111,0.86,1
0.715,0.658,-4.304,0.106,0.162,0.0742,0.795,1
0.561,0.597,-6,0.0405,0.286,0.0979,0.355,1
0.397,0.524,-5.846,0.103,0.607,0.157,0.343,1
0.666,0.796,-6.967,0.103,0.0492,0.0442,0.61,1
0.701,0.547,-8.238,0.0483,0.00843,0.0987,0.4,1
0.659,0.667,-4.668,0.0339,0.00173,0.1,0.468,1
0.773,0.47,-7.93,0.0299,0.0153,0.0851,0.399,1
0.622,0.791,-6.106,0.0535,0.00188,0.083,0.494,1
0.442,0.517,-7.807,0.0548,0.0699,0.114,0.2,1
0.572,0.742,-4.589,0.0347,0.245,0.108,0.376,1
0.687,0.781,-4.806,0.053,0.0361,0.0755,0.688,1
0.717,0.671,-5.077,0.0337,0.0018,0.0921,0.699,1
0.558,0.889,-3.945,0.102,0.191,0.328,0.716,1
0.79,0.694,-7.726,0.0708,0.145,0.281,0.508,1
0.578,0.639,-5.749,0.0374,0.0586,0.0944,0.296,1
0.748,0.74,-6.01,0.0484,0.0107,0.101,0.518,1
0.774,0.792,-4.021,0.0523,0.051,0.155,0.507,1
0.787,0.78,-5.023,0.129,0.25,0.0908,0.68,1
0.715,0.635,-6.591,0.0791,0.127,0.0862,0.39,1
0.746,0.611,-7.034,0.101,0.454,0.133,0.411,1
0.676,0.525,-5.88,0.028,0.617,0.356,0.421,1
0.707,0.689,-7.097,0.0387,0.0255,0.383,0.41,1
0.611,0.797,-7.627,0.0533,0.00543,0.26,0.518,1
0.782,0.798,-5.07,0.0337,0.141,0.685,0.905,1
0.796,0.798,-6.312,0.0317,0.034,0.0952,0.942,1
0.649,0.76,-6.487,0.0574,0.114,0.317,0.843,1
0.539,0.715,-6.639,0.0595,0.0265,0.609,0.489,1
0.734,0.874,-3.158,0.0662,0.168,0.0489,0.905,1
0.704,0.758,-3.537,0.0402,0.233,0.0924,0.534,1
0.737,0.408,-7.941,0.104,0.802,0.171,0.374,1
0.606,0.799,-4.452,0.0261,0.0128,0.15,0.638,1
0.671,0.636,-8.117,0.103,0.515,0.172,0.262,1
0.815,0.518,-6.594,0.0897,0.223,0.104,0.877,1
0.776,0.808,-4.501,0.117,0.0297,0.103,0.494,1
0.721,0.738,-4.77,0.0403,0.00226,0.118,0.637,1
0.686,0.538,-8.026,0.0345,0.181,0.113,0.584,1
0.788,0.859,-2.724,0.0856,0.281,0.0424,0.822,1
0.695,0.656,-6.038,0.0489,0.057,0.267,0.346,1
0.619,0.736,-7.651,0.0425,0.0328,0.0864,0.299,1
0.761,0.525,-6.9,0.0944,0.44,0.0921,0.531,1
0.591,0.764,-5.484,0.0483,0.0383,0.103,0.478,1
0.805,0.515,-6.201,0.0915,0.223,0.238,0.488,1
0.581,0.584,-4.928,0.284,0.0805,0.366,0.756,1
0.748,0.551,-6.12,0.0349,0.235,0.119,0.66,1
0.497,0.757,-4.189,0.127,0.0449,0.119,0.507,1
0.7,0.613,-4.041,0.0408,0.385,0.0887,0.42,1
0.668,0.563,-6.433,0.0522,0.0493,0.119,0.305,1
0.702,0.825,-3.787,0.0601,0.00883,0.0674,0.915,1
0.443,0.582,-6.02,0.0482,0.0301,0.127,0.239,1
0.595,0.784,-4.878,0.102,0.216,0.0608,0.479,1
0.705,0.776,-6.096,0.0445,0.0643,0.0246,0.366,1
0.633,0.843,-5.676,0.046,0.0142,0.113,0.748,1
0.594,0.64,-6.865,0.033,0.0169,0.135,0.492,1
0.576,0.679,-7.237,0.034,0.0311,0.323,0.213,1
0.65,0.825,-4.645,0.0325,0.0215,0.0936,0.593,1
0.399,0.492,-10.777,0.0538,0.058,0.11,0.159,1
0.548,0.816,-4.209,0.0465,0.122,0.335,0.557,1
0.766,0.706,-6.553,0.16,0.223,0.064,0.766,1
0.58,0.586,-6.883,0.0357,0.344,0.0755,0.507,1
0.689,0.706,-4.48,0.0312,0.0833,0.105,0.623,1
0.587,0.648,-6.927,0.0439,0.0561,0.115,0.281,1
0.731,0.626,-6.919,0.0805,0.125,0.183,0.862,1
0.665,0.692,-5.431,0.112,0.172,0.191,0.68,1
0.669,0.629,-5.018,0.0803,0.217,0.366,0.294,1
0.704,0.701,-5.44,0.0596,0.0593,0.126,0.606,1
0.743,0.837,-5.025,0.0649,0.0172,0.0743,0.263,1
0.52,0.849,-3.794,0.186,0.00253,0.119,0.774,1
0.727,0.626,-8.415,0.0726,0.0469,0.126,0.322,1
0.697,0.875,-4.621,0.034,0.137,0.28,0.774,1
0.588,0.701,-6.39,0.0402,0.00813,0.2,0.443,1
0.52,0.903,-5.497,0.042,0.00517,0.254,0.652,1
0.743,0.832,-3.937,0.0611,0.161,0.0925,0.801,1
0.557,0.585,-6.201,0.0431,0.036,0.176,0.305,1
0.762,0.701,-3.541,0.0286,0.235,0.123,0.742,1
0.682,0.72,-8.173,0.0381,0.326,0.148,0.673,1
0.706,0.824,-7.959,0.0694,0.355,0.111,0.86,1
0.715,0.658,-4.304,0.106,0.162,0.0742,0.795,1
0.561,0.597,-6,0.0405,0.286,0.0979,0.355,1
0.397,0.524,-5.846,0.103,0.607,0.157,0.343,1
0.666,0.796,-6.967,0.103,0.0492,0.0442,0.61,1
0.701,0.547,-8.238,0.0483,0.00843,0.0987,0.4,1
0.659,0.667,-4.668,0.0339,0.00173,0.1,0.468,1
0.773,0.47,-7.93,0.0299,0.0153,0.0851,0.399,1
0.622,0.791,-6.106,0.0535,0.00188,0.083,0.494,1
0.442,0.517,-7.807,0.0548,0.0699,0.114,0.2,1
0.572,0.742,-4.589,0.0347,0.245,0.108,0.376,1
0.687,0.781,-4.806,0.053,0.0361,0.0755,0.688,1
0.717,0.671,-5.077,0.0337,0.0018,0.0921,0.699,1
0.558,0.889,-3.945,0.102,0.191,0.328,0.716,1
0.79,0.694,-7.726,0.0708,0.145,0.281,0.508,1
0.578,0.639,-5.749,0.0374,0.0586,0.0944,0.296,1
0.748,0.74,-6.01,0.0484,0.0107,0.101,0.518,1
0.774,0.792,-4.021,0.0523,0.051,0.155,0.507,1
0.787,0.78,-5.023,0.129,0.25,0.0908,0.68,1
0.715,0.635,-6.591,0.0791,0.127,0.0862,0.39,1
0.746,0.611,-7.034,0.101,0.454,0.133,0.411,1
0.676,0.525,-5.88,0.028,0.617,0.356,0.421,1
0.707,0.689,-7.097,0.0387,0.0255,0.383,0.41,1
0.611,0.797,-7.627,0.0533,0.00543,0.26,0.518,1
0.782,0.798,-5.07,0.0337,0.141,0.685,0.905,1
0.796,0.798,-6.312,0.0317,0.034,0.0952,0.942,1
0.649,0.76,-6.487,0.0574,0.114,0.317,0.843,1
0.539,0.715,-6.639,0.0595,0.0265,0.609,0.489,1
0.734,0.874,-3.158,0.0662,0.168,0.0489,0.905,1
0.704,0.758,-3.537,0.0402,0.233,0.0924,0.534,1
0.737,0.408,-7.941,0.104,0.802,0.171,0.374,1
0.606,0.799,-4.452,0.0261,0.0128,0.15,0.638,1
0.671,0.636,-8.117,0.103,0.515,0.172,0.262,1
0.815,0.518,-6.594,0.0897,0.223,0.104,0.877,1
0.731,0.153,-14.409,0.0562,0.952,0.134,0.324,1
0.407,0.317,-7.895,0.0429,0.845,0.139,0.216,1
0.529,0.307,-8.24,0.0335,0.851,0.104,0.439,1
0.625,0.221,-10.576,0.0438,0.666,0.0946,0.702,1
0.782,0.512,-8.103,0.0324,0.297,0.0979,0.658,1
0.561,0.583,-7.091,0.182,0.257,0.117,0.314,1
0.592,0.885,-4.944,0.0807,0.0505,0.0843,0.731,1
0.424,0.544,-7.3,0.192,0.715,0.1,0.578,1
0.596,0.0992,-13.262,0.0299,0.97,0.101,0.267,1
0.688,0.638,-5.562,0.0907,0.146,0.0805,0.83,1
0.619,0.375,-10.06,0.0886,0.59,0.108,0.574,1
0.645,0.486,-7.299,0.0425,0.274,0.135,0.453,1
0.598,0.596,-4.95,0.114,0.504,0.0829,0.785,1
0.548,0.35,-12.52,0.0579,0.273,0.362,0.0802,1
0.587,0.431,-7.522,0.0638,0.788,0.104,0.367,1
0.442,0.409,-5.592,0.0379,0.941,0.207,0.246,1
0.562,0.683,-6.179,0.0328,0.0211,0.176,0.464,1
0.697,0.63,-5.767,0.224,0.512,0.121,0.68,1
0.657,0.726,-4.74,0.0458,0.542,0.137,0.282,1
0.563,0.328,-6.873,0.061,0.948,0.114,0.265,1
0.39,0.312,-11.715,0.0339,0.752,0.16,0.351,1
0.521,0.486,-6.547,0.0273,0.0951,0.147,0.279,1
0.637,0.323,-9.581,0.0352,0.731,0.114,0.367,1
0.538,0.698,-5.57,0.0349,0.0216,0.336,0.263,1
0.688,0.287,-9.732,0.0415,0.163,0.155,0.0597,1
0.74,0.172,-8.669,0.0497,0.658,0.133,0.664,1
0.649,0.69,-5.384,0.0296,0.0247,0.161,0.593,1
0.678,0.576,-5.659,0.0607,0.182,0.245,0.354,1
0.502,0.34,-7.509,0.133,0.821,0.256,0.379,1
0.567,0.344,-8.651,0.0291,0.686,0.218,0.353,1
0.629,0.746,-5.482,0.0401,0.0947,0.225,0.425,1
0.456,0.379,-8.573,0.0685,0.63,0.0983,0.225,1
